Nom,Endroit,Date,Valeur,Type subvention,Objectif,Observations
Canadian HIV/AIDS Legal Network Inc.,Toronto (Ontario) Canada,11/04/2009,"2283 029,00 $",Contribution,"Le Réseau juridique canadien VIH/sida a pour mandat de faire valoir les droits des personnes atteintes du VIH/sida et vulnérables à cette maladie. Il accomplit ce travail, au Canada et ailleurs dans le monde, par des recherches juridiques et éthiques, l'élaboration de politiques, la sensibilisation, la défense des droits et le développement communautaire. Le Réseau est constitué en société depuis 1993. Le projet vise à améliorer à l'échelle nationale la coordination et la planification des efforts de lutte contre le VIH/sida, l'élaboration de politiques, le renforcement des capacités et les communications relativement aux droits, éthiques et juridiques des personnes, des organismes de services liés au sida et de tous ceux qui sont touchés par le VIH/sida.","Modification à l'octroi précédent de 2 229 838,00 $Financement"
Canadian HIV/AIDS Legal Network Inc.,Toronto (Ontario) Canada,10/19/2009,"2229 838,00 $",Contribution,"Le Réseau juridique canadien VIH/sida a pour mandat de faire valoir les droits des personnes atteintes du VIH/sida et vulnérables à cette maladie. Il accomplit ce travail, au Canada et ailleurs dans le monde, par des recherches juridiques et éthiques, l'élaboration de politiques, la sensibilisation, la défense des droits et le développement communautaire. Le Réseau est constitué en société depuis 1993. Le projet vise à améliorer à l'échelle nationale la coordination et la planification des efforts de lutte contre le VIH/sida, l'élaboration de politiques, le renforcement des capacités et les communications relativement aux droits, éthiques et juridiques des personnes, des organismes de services liés au sida et de tous ceux qui sont touchés par le VIH/sida.","Modification à l'octroi précédent de 2 141 800,00 $Financement"
Canadian Liver Foundation,Toronto (Ontario) Canada,09/10/2009,"307 060,00 $",Contribution,"Les objectifs du projet sont de déterminer quels sont les organismes communautaires participant; d'identifier des animateurs et des secrétaires ou des preneurs de notes possibles pour les groupes de discussion; et de traduire les outils liés au projet et l'information sur les ressources relatives à l'hépatite C pour quatre groupes ethnoculturels du Canada (Chinois continentaux, Vietnamiens, Philippins, Égyptiens).","Modification à l'octroi précédent de 282 060,00 $Financement;Activités"
Aboriginal Women's Association of PEI,Charlottetown (Île-du-Prince-Édouard) Canada,07/09/2009,"162 808,00 $",Contribution,"Les objectifs du projet sont de fournir les enfants autochtones avec une opportunité d'augmenter leurs connaissances par rapport à leur culture, traditions et langue du Mi'kmaq, et de fournir un support social aux parents.","Modification à l'octroi précédent de 60 750,00 $"
Action Séro Zéro,Montréal (Québec) Canada,09/28/2009,"62 000,00 $",Subvention,"Le but du projet est de rejoindre les travailleurs du sexe infectés par le virus de l'hépatite C (VHC) ou susceptibles de le contracter de la région de Montréal afin d'augmenter leurs connaissances sur les facteurs de risque liés à l'infection au VHC, et les mesures de prévention.",
Alberta Coalition for Healthy School Communities (ACHSC),Camrose (Alberta) Canada,07/10/2009,"289 343,00 $",Contribution,L'objectif du projet est d'accroître la capacité des membres du réseau de l' << Alberta Coalition for Healthy School Communities (ACHSC) >> pour comprendre et aborder les disparités de la santé dans les limites d'une approche globale de la santé en milieu scolaire (AGSS).,"Modification à l'octroi précédent de 209 343,00 $Financement"
All Nations Hope AIDS Network,Regina (Saskatchewan) Canada,09/18/2009,"429 958,00 $",Contribution,"L'objectif du projet est d'élaborer des initiatives de renforcement des capacités visant l'établissement de programmes communautaires destinés aux Autochtones hors réserves. Pour atteindre cet objectif, l'organisme présentera une série de séances de formation adaptées à la culture autochtone et élaborera un manuel sur la formation des Autochtones vivant avec le VIH/sida; établira un bureau des conférenciers pour présenter des exposés à des ateliers et des conférences; mettra sur pied le groupe de bispirituels de Regina au moyen de l'établissement de partenariats, de la recherche et de la planification stratégique; organisera une activité de renforcement des capacités à l'intention des bispirituels.","Modification à l'octroi précédent de 329 958,00 $Financement,Durée"
Alliance des communautés culturelles pour l'égalité dans la santé et les services sociaux,Montréal (Québec) Canada,07/23/2009,"147 423,00 $",Subvention,Le but du projet est d'offrir des séances d'information pour les femmes ainsi que de la formation pour les fournisseurs de soins de santé afin de répondre aux besoins particuliers des femmes immigrantes qui s'établissent au Québec chaque année.,
Bureau Régional d'Action SIDA (Outaouais) (B.R.A.S.),Gatineau (Québec) Canada,08/13/2009,"38 400,00 $",Contribution,"Le but du projet est d'améliorer la sensibilisation et le soutien auprès des clientèles vulnérables (utilisateurs de drogues injectables, détenus, jeunes) pour la prévention de l'hépatite C dans la ville de Gatineau.",
Canadian Aboriginal AIDS Network Inc. (CAAN),Ottawa (Ontario) Canada,10/07/2009,"2903 225,00 $",Contribution,"Le Réseau canadien autochtone du sida assure un leadership et fournit des services de soutien et de défense des droits aux Autochtones atteints du VIH/sida ou qui sont touchés par cette maladie, peu importe l'endroit où ils habitent. Le projet vise à fournir à l'échelle nationale un soutien aux organismes de services liés au sida et à s'assurer que l'on tient compte des besoins des communautés autochtones dans les politiques nationales et dans les stratégies de communication et de renforcement des capacités relatives au VIH/sida dans l'ensemble du secteur bénévole.","Modification à l'octroi précédent de 2 669 135,00 $Financement"
Canadian AIDS Society,Ottawa (Ontario) Canada,10/07/2009,"3175 555,00 $",Contribution,"La Société canadienne du sida a pour mandat de servir de tribune et de porte-parole nationaux pour la lutte communautaire contre le VIH/sida. Elle défend les droits des personnes touchées par le VIH/sida, agit à titre de ressource pour ses organismes membres et coordonne la participation des collectivités à une stratégie nationale de lutte contre le VIH/sida. Le projet a pour objectif de fournir un soutien à l'échelle nationale aux organismes de services liés au sida et d'influer sur l'élaboration et la mise en oeuvre de stratégies nationales en matière de politiques, de communication et de renforcement des capacités dans le secteur bénévole.","Modification à l'octroi précédent de 2 872 305,00 $Financement"
Canadian Public Health Association NWT/Nunavut Branch,Yellowknife (Territoires du Nord-Ouest) Canada,09/30/2009,"529 627,00 $",Contribution,"Les objectifs du projet sont la création de partenariats visant  l'établissement de programmes à long terme, durables et complets en matière d'habitudes alimentaires saines et d'activité physique à  l'intention de personnes atteintes de diabète ou qui sont à risque de  l'être; le projet vise aussi une meilleure sensibilisation à l'importance d'une alimentation saine grâce à la promotion d'aliments sains particuliers, la prestation d'outils et de formation aux résidants pour assurer un approvisionnement durable d'aliments sains ainsi qu'une amélioration de leurs habiletés en cette matière. Ce projet s'adressera surtout aux communautés d'Inuvik et de Tuktoyaktuk.","Modification à l'octroi précédent de 397 642,00 $Financement,Durée"
CENTRE DE SANTÉ DE LA BASSE-CÔTE-NORD,Blanc-Sablon (Québec) Canada,04/21/2009,"46 953,00 $",Contribution,"Le but du projet est d'offrir un programme de développement de compétences parentales et de stimulation infantile dans les municipalités de St-Augustin et de La Tabatière, sur la basse Côte-Nord.",Divulgation tardive
CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DE LA MONTAGNE (SITE CÔTE-DES-NEIGES),Montréal (Québec) Canada,04/23/2009,"141 154,00 $",Contribution,"Le but du projet est d'augmenter l'accessibilité des services de nutrition prénatale, d'améliorer l'alimentation de la femme enceinte et d'atténuer les problèmes d'abus et de négligence à l'égard des enfants.",divulgation tardive
COALITION SIDA DES SOURDS DU QUÉBEC (CSSQ),Montréal (Québec) Canada,07/20/2009,"50 000,00 $",Contribution,Le but du projet est de faciliter l'expression des besoins d'information et d'échanges en matière de prévention du VIH/Sida dans la communauté des sourds et malentendants du Québec par la création d'un site Internet en langages des signes.,
Consortium international sur les thérapies antivirales,Peterborough (Ontario) Canada,09/24/2009,"2000 000,00 $",Contribution,Le but du projet est de faire progresser l'élaboration de nouveaux antiviraux à des fins thérapeutiques et d'accélérer leur distribution au Canada et à l'étranger.,Financement pluriannuel
Dietitians of Canada,Calgary (Alberta) Canada,07/21/2009,"351 286,00 $",Contribution,L'objectif du projet est d'accroître la capacité des communautés rurales de promouvoir la sécurité alimentaire.,"Modification à l'octroi précédent de 226 286,00 $Financement"
DOPAMINE,Montréal (Québec) Canada,08/12/2009,"38 500,00 $",Contribution,"Le but du projet est de mobiliser les utilisateurs de drogues injectables ou inhalées dans le quartier Hochelaga-Maisonneuve de Montréal, infectés par le VIH-Virus de l'hépatite C ou à risque de l'être, par l'adoption de comportements sécuritaires.",
Dopamine,Montréal (Québec) Canada,07/16/2009,"50 000,00 $",Contribution,"Le but du projet est de développer les compétences des intervenants de l'organisme et leurs outils d'intervention afin de mieux prévenir le virus de l'immunodéficience humaine (VIH) auprès de leur clientèle, soit les utilisateurs de drogues injectables et travailleurs (euses) du sexe dans le quartier Hochelaga-Maisonneuve à Montréal.",
"EXTENSO, CENTRE DE RÉFÉRENCE SUR LA NUTRITION HUMAINE",Montréal (Québec) Canada,05/21/2009,"245 000,00 $",Contribution,Le but du projet est de favoriser de saines conditions alimentaires auprès des enfants d'âge pré-scolaire (0 à 5 ans) au Québec par l'amélioration des menus offerts en garderie et par la sensibilisation des intervenants clés impliqués dans cette démarche.,divulgation tardive
ÉMISS-ÈRE (Équipe Multidisciplinaire d'intervention en Santé Sexuelle),Longueuil (Québec) Canada,08/24/2009,"50 000,00 $",Contribution,"Le but du projet est de rejoindre les personnes fréquentant des centres de réadaptation en toxicomanie, les hommes en milieu carcéral et les femmes à risque dans l'ensemble du territoire de la Montérégie afin d'augmenter leurs connaissances sur les modes de transmission du virus de l'hépatite C (VHC), les comportements sécuritaires et les traitements possibles en lien avec le VHC.",
Émiss-ère (Équipe Multidisciplinaire d'Intervention en Santé Sexuelle),Longueuil (Québec) Canada,07/13/2009,"40 000,00 $",Subvention,Le but du projet est d'outiller les travailleuses du sexe de la Montérégie pour adopter des comportements sécuritaires à l'égard de l'infection par le virus de l'immunodéficience humaine (VIH) et des autres infections transmissibles sexuellement et par le sang.,
"Food First Foundation, NWT",Yellowknife (Territoires du Nord-Ouest) Canada,09/29/2009,"173 574,00 $",Contribution,L'objectif du projet est de donner aux enfants de saines habitudes alimentaires en les renseignant sur une alimentation et un style de vie sains et en faisant la promotion d'un programme d'activités récréatives faisant en sorte que tous les enfants qui vont à l'école soient bien nourris et qu'ils soient prêts à apprendre.,"Modification à l'octroi précédent de 123 574,00 $Financement,Durée"
2-Spirited People of the 1st Nations,Toronto (Ontario) Canada,03/30/2009,"200 500,00 $",Contribution,"Le projet s'adresse aux Autochtones bispirituels transgenres et vise à améliorer leur santé sexuelle et à réduire les méfaits associés à l'utilisation de drogues injectables. Pour atteindre ces objectifs, l'organisation prévoit des groupes de discussion; des analyses de données et la préparation de matériel documentaire;  des sondages de suivi;  et des entrevues.  Les résultats du projet seront diffusés par l'intermédiaire du site Internet et d'organismes d'autochtones bispirituels.","Modification à l'octroi précédent de 140 500,00 $Financement,Durée"
6e Jour Inc. (Centre Marie-Ève),Saint-Eustache (Québec) Canada,04/17/2009,"67 201,00 $",Contribution,L'objectif du projet est de favoriser une plus grande accessibilité aux services de la clientèle en favorisant une plus grande accessibilité aux services par l'élaboration d'activités de démarchage et d'accompagnement.,
Aboriginal Women's Association of PEI,Charlottetown (Île-du-Prince-Édouard) Canada,03/05/2009,"60 750,00 $",Contribution,"Les objectifs du projet sont de fournir les enfants autochtones avec une opportunité d'augmenter leurs connaissances par rapport à leur culture, traditions et langue du Mi'kmaq, et de fournir un support social aux parents.",Déclaration tardive
Académie canadienne des sciences de la santé,Ottawa (Ontario) Canada,07/29/2009,"100 000,00 $",Contribution,"L'objectif du projet est de réaliser une analyse documentaire complète sur les modèles relatifs aux maladies chroniques, l'innovation en matière de systèmes et le changement du système de santé.",
Action Séro Zéro,Montréal (Québec) Canada,03/31/2009,"114 500,00 $",Contribution,L'objectif du projet est de favoriser la prévention du VIH/sida par l'entremise du site Internet en procurant de l'information entourant la santé gaie et les pratiques sécuritaires auprès des jeunes hommes ayant des relations sexuelles avec d'autres hommes.,"Modification à l'octroi précédent de 54 500,00 $Financement,Durée"
Action Séro Zéro,Montréal (Québec) Canada,03/31/2009,"114 500,00 $",Contribution,L'objectif du projet est de prévenir le VIH/sida au sein de la communauté gaie de Montréal.,"Modification à l'octroi précédent de 54 500,00 $Financement,Durée"
Actions Sida Côte-Nord,Sept-Îles (Québec) Canada,03/25/2009,"133 500,00 $",Contribution,L'objectif du projet est d'étendre son rayonnement et ses actions VIH/sida sur l'ensemble du territoire.,"Modification à l'octroi précédent de 64 500,00 $Financement,Durée"
Actions Sida Côte-Nord,Sept-Îles (Québec) Canada,05/27/2009,"100 000,00 $",Contribution,L'objectif du projet est de permettre à un intervenant de se présenter dans les différents milieux fréquentés par la population nord-côtière afin de donner des informations sur les comportements sécuritaires à adopter pour éviter les infections de VIH transmissibles sexuellement et par le sang.,
Active Healthy Kids Canada,Toronto (Ontario) Canada,04/22/2009,"569 263,00 $",Contribution,L'objectif du projet est de fournir une mesure exhaustive de la façon dont le Canada assume sa responsabilité d'offrir des occasions d'activités physiques aux enfants et aux jeunes.,"Modification à l'octroi précédent de 425 558,00 $Financement,Activités"
Active Living Alliance for Canadians with a Disability,Ottawa (Ontario) Canada,04/11/2009,"554 525,00 $",Contribution,"Les objectifs du projet sont de fournir aux enseignants, aux entraîneurs, aux responsables communautaires, aux clubs sociaux et à d'autres associations les connaissances, la formation, le soutien et les ressources nécessaires pour intégrer les enfants et les jeunes ayant une incapacité dans les programmes  d'éducation physique et les programmes récréatifs; et de faire de ces personnes des chefs de file et des porte-paroles pour que les communautés soient en santé et inclusives.","Modification à l'octroi précédent de 409 525,00 $Financement;Activités"
African and Caribbean Council on HIV/AIDS in Ontario (ACCHO),Toronto (Ontario) Canada,03/27/2009,"126 950,00 $",Contribution,L'objectif du projet est de traiter les divers problèmes liés à l'isolement et à la discrimination à l'égard des collectivités africaines et de celles des Caraïbes.,Déclaration tardive
African Disapora Association of the Maritimes (ADAM),Halifax (Nouvelle-Écosse) Canada,04/15/2009,"65 000,00 $",Contribution,"L'objectif du projet est d'accroître la sensibilisation à la prévention et à la réduction du risque de VIH/sida, et à amener les communautés de Nouveaux-Écossais d'origine africaine de la province à établir des comités de santé communautaire.",
Agence OMETZ,Montréal (Québec) Canada,05/13/2009,"43 530,00 $",Contribution,L'objectif du projet est de donner de la formation au personnel des garderies identifiées pour les aider à intervenir plus adéquatement auprès d'enfants qui éprouvent des difficultés d'adaptation et d'offrir un soutien aux familles les plus vulnérables.,
Aide-Parents Plus inc.,Jonquière (Québec) Canada,04/16/2009,"65 511,00 $",Contribution,L'objectif du projet est de mettre sur pied des ateliers d'animation pour jeunes mères défavorisées économiquement qui vivent et assument pour la première fois leur rôle parental.,
AIDS Coalition of Cape Breton,Sydney (Nouvelle-Écosse) Canada,03/31/2009,"41 000,00 $",Subvention,"L'objectif du projet est de permettre une meilleure sensibilisation aux méthodes de prévention, à la transmission de la maladie et aux comportements à risque chez les jeunes, les jeunes enseignants et les fournisseurs de services relativement aux agents pathogènes transmissibles par le sang (priorité à l'hépatite C).",Déclaration tardive
AIDS Committee of Durham Region,Oshawa (Ontario) Canada,03/25/2009,"138 759,00 $",Contribution,"L'objectif du projet est de renforcer les capacités des fournisseurs de services locaux, d'offrir du soutien et un service d'approche aux populations difficiles à rejoindre – y compris les jeunes et les personnes qui consomment des drogues – afin d'empêcher la propagation du VIH/sida.",Déclaration tardive
AIDS Committee of Guelph & Wellington County,Guelph (Ontario) Canada,03/24/2009,"77 199,00 $",Contribution,L'objectif du projet est d'élaborer un module de formation des pairs à l'aide de l'approche « prévention POZ » et de donner de la formation aux personnes vivant avec le VIH/sida afin d'offrir des ateliers éducatifs aux autres personnes vivant avec le VIH/sida.,Déclaration tardive
AIDS Committee Of Windsor,Windsor (Ontario) Canada,03/26/2009,"121 835,00 $",Contribution,L'objectif du projet est de répondre aux besoins en éducation et en soutien aux hommes homosexuels qui présentent un risque de contracter le VIH au moyen de programmes gérés par les pairs.,Déclaration tardive
AIDS Community Care of Montreal (ACCM),Montréal (Québec) Canada,03/26/2009,"128 650,00 $",Contribution,Les objectifs du projet sont de procurer des services d'éducation et prévention aux clientèles vulnérables et aux personnes vivant avec le VIH/sida; d'élargir le réseau de partenariat; et d'améliorer le service de bénévoles.,"Modification à l'octroi précédent de 62 500,00 $Financement,Durée"
AIDS Community Care of Montreal (ACCM),Montréal (Québec) Canada,03/26/2009,"101 975,00 $",Contribution,"L'objectif du projet est de procurer aux personnes vivant avec le VIH un support psycho-social, une assistance pratique, des informations ainsi que des habiletés pratiques.","Modification à l'octroi précédent de 47 500,00 $Financement,Durée"
Aboriginal Peoples' Alliance of Northern Ontario,Cochrane (Ontario) Canada,03/14/2007,"358 750,00 $",Contribution,"L'objectif du projet est de mettre en oeuvre un programme d'aide pre-scolaire aux Autochtones en fonction des volets suivants : la culture et la langue, l'éducation, la promotion de la santé, la nutrition, la participation des parents et les programmes de soutien social.",Déclaration tardive
ABORIGINAL PEOPLES ALLIANCE OF NORTHERN ONTARIO,Cochrane (Ontario) Canada,02/18/2009,"1171 310,00 $",Contribution,"L'objectif du projet est de mettre en oeuvre un programme d'aide pre-scolaire aux Autochtones en fonction des volets suivants : la culture et la langue, l'éducation, la promotion de la santé, la nutrition, la participation des parents et les programmes de soutien social.","Modification à l'octroi précédent de 723 749,00 $Financement;Durée"
Active Healthy Kids Canada,Toronto (Ontario) Canada,02/01/2009,"425 558,00 $",Contribution,L'objectif du projet est de fournir une mesure exhaustive de la façon dont le Canada assume sa responsabilité d'offrir des occasions d'activités physiques aux enfants et aux jeunes.,"Modification à l'octroi précédent de 394 708,00 $Financement,Activités"
Active Living Alliance for Canadians with a Disability,Ottawa (Ontario) Canada,01/08/2009,"409 525,00 $",Contribution,"Les objectifs du projet sont de fournir aux enseignants, aux entraîneurs, aux responsables communautaires, aux clubs sociaux et à d'autres associations les connaissances, la formation, le soutien et les ressources nécessaires pour intégrer les enfants et les jeunes ayant une incapacité dans les programmes  d'éducation physique et les programmes récréatifs; et de faire de ces personnes des chefs de file et des porte-paroles pour que les communautés soient en santé et inclusives.","Modification à l'octroi précédent de 372 275,00 $Financement,Activités"
AIDS COMMITTEE OF TORONTO,Toronto (Ontario) Canada,03/23/2009,"93 976,00 $",Subvention,"Le but du projet est de fournir des lignes directrices, des politiques et des outils organisationnels officiels à l'organisme AIDS Committee of Toronto et d'autres organisations SIDA afin qu'ils soient mieux préparés pour traiter les nouveaux besoins des personnes atteintes du VIH et d'autres infections.",
AIDS THUNDER BAY,Thunder Bay (Ontario) Canada,03/20/2009,"57 410,00 $",Subvention,"Le but du projet est de sensibiliser le public à de multiples infections du VIH, le VHC et les infections transmissibles sexuellement (particulièrement la gonorrhée, la chlamydia et la syphilis) chez les utilisateurs de drogues par injection. ",
Aisling Discoveries Child and Family Centre,Scarborough (Ontario) Canada,12/30/2008,"514 798,00 $",Contribution,L'objectif du projet est de réduire le nombre de nouveau-nés ayant un poids insuffisant à la naissance et d'améliorer la santé et le mieux-être des femmes enceintes et de leurs enfants.,Divulgation tardive
Alberta Health and Wellness,Edmonton (Alberta) Canada,03/17/2009,"120 000,00 $",Contribution,L'objectif du projet est de développer le Système de surveillance des incidents indésirables liés aux transfusions au niveau provincial et partager les données avec l'Agence de la santé publique du Canada.,
Arctic Health Research Network - Northwest Territories,Yellowknife (Territoires du Nord-Ouest) Canada,12/22/2008,"40 000,00 $",Subvention,L'objectif du projet est de fournir du support financier pour des coûts reliés à un projet d'un stagiaire de maîtrise en santé publique placé dans le Grand Nord qui travaille sur une intervention à prévenir l'ensemble des troubles causés par l'alcoolisation fœtale.,Divulgation tardive
Association of Hemophilia Clinic Directors of Canada,Toronto (Ontario) Canada,03/27/2009,"400 000,00 $",Contribution,L'objectif du projet est d'établir une banque protégée d'échantillons de sang provenant des personnes ayant un désordre héréditaire diagnostiqué de saignement.,"Modification à l'octroi précédent de 200 000,00 $Financement,Durée"
Canadian Association for the Advancement of Women and Sport and Physical Activity (CAAWS),Ottawa (Ontario) Canada,01/20/2009,"190 598,00 $",Contribution,"L'objectif du projet est d' intervenir auprès des mères dont la situation socio-économique est précaire en accroissant la capacité des intervenants multi-sectoriels à promouvoir l'importance d'une saine alimentation et de l'activité physique, en accroissant la sensibilisation et les connaissances, en réduisant les obstacles à la participation et en renforçant les milieux physiques et sociaux.","Modification à l'octroi précédent de 163 598,00 $Financement,Activités"
Canadian Association of Occupational Therapists,Ottawa (Ontario) Canada,01/13/2009,"309 075,00 $",Contribution,"L'objectif du projet de l'équipe du plan directeur national de prévention des blessures chez les conducteurs âgés (plan national) est d'établir un cadre conceptuel d'intervention continue, dont le but ultime sera de réduire le nombre  d'accidents impliquant des conducteurs âgés.","Modification à l'octroi précédent de 229 375,00 $"
Canadian Fitness and Lifestyle Research Institute,Ottawa (Ontario) Canada,01/21/2009,"1802 380,00 $",Contribution,"L'objectif du projet est de fournir des renseignements à jour sur les niveaux  d'activité physique de la population et sur des questions connexes. Ces renseignements sont destinés à diverses administrations, à des responsables de politiques et de programmes, à des universitaires, à des recherchistes, aux médias, etc. Ils permettent aux gouvernements FPT : 1) de faire rapport des progrès qu'ils ont accomplis  relativement aux objectifs fixés par les ministres FPT responsables du sport et de l'activité physique visant à accroître les niveaux d'activité des Canadiens et des Canadiennes de 10 points de pourcentage d'ici 2010; 2) d'adopter une approche fondée sur des données probantes pour mettre en œuvre le volet relatif à l'activité physique de la Stratégie en matière de modes de vie sains.","Modification à l'octroi précédent de 1 750 000,00 $Financement,Activités"
Canadian HIV/AIDS Legal Network Inc.,Toronto (Ontario) Canada,01/26/2009,"1570 300,00 $",Contribution,"Le Réseau juridique canadien VIH/sida a pour mandat de faire valoir les droits des personnes atteintes du VIH/sida et vulnérables à cette maladie. Il accomplit ce travail, au Canada et ailleurs dans le monde, par des recherches juridiques et éthiques, l'élaboration de politiques, la sensibilisation, la défense des droits et le développement communautaire. Le Réseau est constitué en société depuis 1993. Le projet vise à améliorer à l'échelle nationale la coordination et la planification des efforts de lutte contre le VIH/sida, l'élaboration de politiques, le renforcement des capacités et les communications relativement aux droits, éthiques et juridiques des personnes, des organismes de services liés au sida et de tous ceux qui sont touchés par le VIH/sida.","Modification à l'octroi précédent de 1 438 450,00 $Financement"
Canadian Parks and Recreation Association,Ottawa (Ontario) Canada,02/08/2009,"704 272,00 $",Contribution,Les objectifs du projet sont de créer des occasions de loisir accessibles pour les enfants et les jeunes qui viennent d'une famille à faible revenu et à répondre davantage aux besoins des Autochtones.,"Modification à l'octroi précédent de 605 272,00 $Financement,Activités"
Canadian Society For Exercise Physiology,Vancouver (Colombie-Britannique) Canada,01/06/2009,"508 731,00 $",Contribution,Le but du projet est de réduire les obstacles à l'activité physique en mettant en place une ligne téléphonique pour supporter l'activité physique.,"Modification à l'octroi précédent de 70 000,00 $Financement;Durée;Activités"
Capital Health,Edmonton (Alberta) Canada,01/21/2009,"150 000,00 $",Contribution,L'objectif du projet est de développer un projet pilote pour le Système de surveillance des événements indésirables liés aux transplantations au niveau provincial et partager les données avec l'Agence de la santé publique du Canada.,
CENTRE DE LA PETITE ENFANCE SOLEIL LE VENT - RISING SUN CHILDCARE CENTRE,Verdun (Québec) Canada,02/27/2009,"730 398,00 $",Contribution,"L'objectif du projet est de mettre en oeuvre une stratégie d'intervention précoce favorisant le développement global des enfants Autochtones et Inuits d'âge préscolaire, dans la région urbaine de Montréal.","Modification à l'octroi précédent de 663 649,00 $Financement,Activités"
CSSS - Institut universitaire de gériatrie de Sherbrooke,"Sherbrooke, Québec, Canada",01/23/2009,"697 073,00 $",Contribution,Ce projet assurera l'approvisionnement en suppléments alimentaires pour l'ensemble de la clientèle desservie par les établissements participants. Ces derniers s'engagent à fournir les ressources humaines nécessaires afin de réaliser les 559 suivis diététiques complets dont plus d'une centaine sont de nouvelles inscriptions. On espère ainsi diminuer à moins de 100 le nombre de naissances de bébés de petit poids.,"Modification à l'octroi précédent de 645 654,00 $Financement,Activités"
De dwa da dehs nye>s Aboriginal Health Centre,Hamilton (Ontario) Canada,01/26/2009,"285 000,00 $",Contribution,Le but du projet est de permettre à la communauté de développer des programmes culturellement appropriés complets pour améliorer la santé et le développement des enfants 0 à 6 ans vivant en état de risque et de leurs familles.,"Modification à l'octroi précédent de 190 000,00 $Financement;Durée"
Action Séro Zéro,Montréal (Québec) Canada,11/18/2008,"276 150,00 $",Contribution,"L'objectif du projet est d'appuyer des projets nationaux qui permettent la prévention du VIH, qui améliorent l'accès aux diagnostics, soins, traitements et services de soutien appropriés et qui encouragent les comportements sécuritaires au sein des populations canadiennes les plus touchées par le VIH/sida et les plus vulnérables à l'infection.","Modification à l'octroi précédent de 225 000,00 $Funding"
All Nations Hope AIDS Network,Regina (Saskatchewan) Canada,11/24/2008,"329 958,00 $",Contribution,"L'objectif du projet est d'élaborer des initiatives de renforcement des capacités visant l'établissement de programmes communautaires destinés aux Autochtones hors réserves. Pour atteindre cet objectif, l'organisme présentera une série de séances de formation adaptées à la culture autochtone et élaborera un manuel sur la formation des Autochtones vivant avec le VIH/sida; établira un bureau des conférenciers pour présenter des exposés à des ateliers et des conférences; mettra sur pied le groupe de bispirituels de Regina au moyen de l'établissement de partenariats, de la recherche et de la planification stratégique; organisera une activité de renforcement des capacités à l'intention des bispirituels.","Modification à l'octroi précédent de 300 000,00 $Financement"
Association pour la santé publique du Québec,Montréal (Québec) Canada,10/15/2008,"150 000,00 $",Subvention,Les << Journées annuelles de santé publique >> (JASP) constituent un lieu de formation continue et de réseautage pour l'ensemble des intervenants en santé publique et rejoignent annuellement près de 2000 participants.,"Modification à l'octroi précédent de 50 000,00 $Financement"
British Columbia Centre for Disease Control and Prevention Society Branch,Vancouver (Colombie-Britannique) Canada,03/31/2008,"500 000,00 $",Subvention,"L'objectif global du projet est d'établir une infrastructure servant à l'évaluation pédiatrique nationale des vaccins contre l'influenza actuels et candidats (y compris du soutien épidémiologique, des essais cliniques et de laboratoire connexes). L'objectif particulier est d'évaluer si le fait d'augmenter la teneur de l'antigène de l'influenza chez l'enfant par dose de vaccin antigrippal trivalent à virion fragmenté pour qu'elle corresponde à celle établie pour tous les autres groupes d'âge peut améliorer l'immunogénicité des nourrissons et des tout-petits sans faire augmenter la réactogénicité.","Modification à l'octroi précédent de 432 015,00 $Financement"
Calgary Health Trust,Calgary (Alberta) Canada,02/21/2008,"137 500,00 $",Subvention,"Le projet a pour but l'élaboration d'un programme communautaire adapté à la culture des Calgariennes d'origine indo-asiatique en vue de prévenir le diabète chez les accouchées ayant eu un diagnostic de diabète sucré de la grossesse (DSG). En collaboration avec des leaders communautaires indo-asiatiques, des professionnels de la santé et des membres de la communauté formés à cette fin, les femmes ayant des antécédents de DSG participeront activement à la planification et à la mise en œuvre des activités. Au moins quatre participantes seront formées à titre de leaders non professionnelles afin de diriger des activités consistant par exemple à visiter des épiceries, à mettre sur pied des cuisines collectives et à trouver des occasions de vie active adaptées à la culture. On produira également des ressources adaptées sur la prévention et le contrôle du diabète de type 2 et du DSG.","Modification à l'octroi précédent de 112 500,00 $Financement"
Canadian Aboriginal AIDS Network Inc. (CAAN),Ottawa (Ontario) Canada,11/20/2008,"2120 635,00 $",Contribution,"Le Réseau canadien autochtone du sida assure un leadership et fournit des services de soutien et de défense des droits aux Autochtones atteints du VIH/sida ou qui sont touchés par cette maladie, peu importe l'endroit où ils habitent. Le projet vise à fournir à l'échelle nationale un soutien aux organismes de services liés au sida et à s'assurer que l'on tient compte des besoins des communautés autochtones dans les politiques nationales et dans les stratégies de communication et de renforcement des capacités relatives au VIH/sida dans l'ensemble du secteur bénévole.","Modification à l'octroi précédent de 1 980 250,00 $Financement"
